fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
8/8/8/8/8/k2K4/7Q/8 w - - 0 1,d3c4->a3a4->h2a2,2,2,0,0.06909012794494629
8/8/k1K3Q1/8/8/8/8/8 w - - 0 1,g6g8->a6a5->g8c4->None,3,2,-1,0.0020079612731933594
8/8/8/8/8/6KQ/8/4n1k1 w - - 0 1,h3h2->g1f1->h2f2,2,2,0,0.05194878578186035
8/8/2p5/2Q5/7k/5K2/8/8 w - - 0 1,c5a5->h4h3->a5h5,2,2,0,0.0696401596069336
4K2k/8/5N2/4Q3/8/8/8/8 w - - 0 1,e8f8->None,2,2,0,8.511543273925781e-05
5K1k/8/8/6NN/8/3p4/8/1B6 w - - 0 1,g5f7->h8h7->h5f4->None,3,2,-1,0.021631956100463867
8/8/8/6N1/8/4K3/7k/5Q2 w - - 0 1,g5e4->None,2,2,0,0.008217096328735352
8/8/8/8/8/K3Q3/B1k5/8 w - - 0 1,e3d4->c2c1->d4d3->None,3,2,-1,0.03746604919433594
8/5Q2/8/8/5p2/5K2/8/5k2 w - - 0 1,f7h7->f1e1->h7d3->None,3,2,-1,0.010037899017333984
8/8/8/8/1N6/6K1/1P1k4/5Q2 w - - 0 1,g3f4->None,2,2,0,0.030130863189697266
8/8/5p2/5B2/8/1K1R4/8/2k5 w - - 0 1,d3d8->None,2,2,0,0.03209400177001953
8/4Q3/8/6rp/7k/8/7K/8 w - - 0 1,e7e1->g5g3->e1g3,2,2,0,0.08619308471679688
8/8/8/8/2N1p2Q/5k2/8/5K2 w - - 0 1,c4b2->f3e3->h4f2,2,2,0,0.07216906547546387
8/8/8/2p5/2K5/Q7/N7/1k6 w - - 0 1,a3c3->b1a2->c3c1->None,3,2,-1,0.04721498489379883
8/8/8/8/8/6Kp/8/5Qnk w - - 0 1,f1e1->h3h2->g3f2->None,3,2,-1,0.0344240665435791
8/1pQ5/8/1k6/1N6/1K6/8/8 w - - 0 1,b4d5->b7b6->c7b6,2,2,0,0.09336209297180176
8/5KN1/8/6k1/6p1/6Q1/8/8 w - - 0 1,g3e1->g5h6->e1h4,2,2,0,0.0805208683013916
8/4N1K1/8/8/5k2/8/8/3BQ3 w - - 0 1,g7h7->f4g5->e1f2->None,3,2,-1,0.010300874710083008
8/8/8/8/5K2/6B1/4p1k1/4Q3 w - - 0 1,f4g4->None,2,2,0,0.009067058563232422
8/8/8/3K4/8/4kp1R/7Q/8 w - - 0 1,h2g2->e3d3->h3f3,2,2,0,0.08335471153259277
8/8/8/8/8/6Q1/p3k3/R1K5 w - - 0 1,g3h3->e2e1->h3f3->None,3,2,-1,0.042452096939086914
5Q2/1n1k4/4N3/3K4/8/8/8/8 w - - 0 1,f8e7->d7c8->e7c7,2,2,0,0.10344696044921875
5Q2/6r1/7k/6N1/6K1/8/8/8 w - - 0 1,f8f5->g7g8->f5h7,2,2,0,0.09070014953613281
8/5R1K/4kP2/2Q5/8/8/8/8 w - - 0 1,h7g8->None,2,2,0,0.0032618045806884766
8/8/7B/6p1/5p2/2K5/2B5/2k5 w - - 0 1,h6g5->None,2,2,0,0.005957126617431641
8/8/2Q2p1N/4k3/8/4K3/8/8 w - - 0 1,h6f7->e5f5->c6e4,2,2,0,0.11212301254272461
3N1k2/3K2bQ/8/8/8/8/8/8 w - - 0 1,d8e6->f8f7->h7g7,2,2,0,0.09050798416137695
8/8/5R2/8/6k1/5N2/7K/7R w - - 0 1,h2g2->None,2,2,0,0.07519793510437012
8/8/8/Q7/8/Nkp5/8/K3B3 w - - 0 1,a5b5->b3a3->e1c3->None,3,2,-1,0.08065414428710938
8/8/8/8/8/4pk1K/2Q3N1/8 w - - 0 1,g2h4->f3f4->c2f5,2,2,0,0.08709907531738281
6Q1/3k4/1K1P4/8/3N4/8/8/8 w - - 0 1,g8f8->None,2,2,0,0.0034470558166503906
8/2p5/1pQ5/8/1k6/1N6/1K6/8 w - - 0 1,b3d4->b6b5->c6b5,2,2,0,0.11301016807556152
5knQ/8/4K2p/7P/8/8/8/8 w - - 0 1,e6d6->f8e8->h8g8,2,2,0,0.028280019760131836
8/4NQbk/8/8/8/8/1p6/1K6 w - - 0 1,b1a2->h7h8->f7g8,2,2,0,0.08097314834594727
6N1/4N3/2B1k3/2K5/5R2/8/8/8 w - - 0 1,e7c8->e6e5->f4f6->None,3,2,-1,0.014584064483642578
8/RN1kP3/5K2/2R5/2P5/8/8/8 w - - 0 1,b7d8->d7d6->d8e6->None,3,2,-1,0.0005831718444824219
8/8/8/8/8/2p3KN/R1b5/7k w - - 0 1,a2c2->None,2,2,0,0.04911684989929199
8/8/1Q6/4k3/7K/3PN3/4P3/8 w - - 0 1,b6c6->e5d4->e3g4->None,3,2,-1,0.02925896644592285
8/8/8/8/4K3/1N1p4/4k1p1/6Q1 w - - 0 1,g1e3->e2d1->e3d2,2,2,0,0.06923508644104004
5R2/5nK1/8/8/8/7Q/8/3N2k1 w - - 0 1,f8f7->None,2,2,0,0.04508614540100098
8/8/8/2K5/8/3k4/2nB2Q1/2R5 w - - 0 1,d2f4->d3c3->g2c2,2,2,0,0.22449588775634766
8/8/7p/8/5QPk/7p/7K/8 w - - 0 1,f4f5->h6h5->g4h5->None,3,2,-1,0.03328895568847656
8/8/8/6p1/6K1/2Q1N3/4k2B/8 w - - 0 1,g4g3->g5g4->h2g1->None,3,2,-1,0.021381855010986328
6B1/5p2/1Q6/4k3/8/4NK2/8/8 w - - 0 1,g8h7->f7f5->h7f5->None,3,2,-1,0.0009260177612304688
3K4/3P4/1k6/8/Q1R5/2P5/8/8 w - - 0 1,d8e8->b6b7->d7d8q->None,3,2,-1,0.0028579235076904297
R7/p7/k1K5/8/p7/B7/8/8 w - - 0 1,a3c5->a4a3->a8a7,2,2,0,0.051543235778808594
5R2/8/5Pk1/3K4/7Q/6P1/8/8 w - - 0 1,f8h8->g6f5->h8g8->None,3,2,-1,0.0022199153900146484
8/8/8/5Q2/5nB1/2B1k3/8/5K2 w - - 0 1,f1e1->f4g6->f5f3,2,2,0,0.23383331298828125
8/8/8/8/3p2N1/3K4/6pQ/5k2 w - - 0 1,h2g3->f1g1->g3e1,2,2,0,0.18479704856872559
6R1/5Kn1/8/8/8/6R1/8/6Bk w - - 0 1,g8h8->g7h5->h8h7->None,3,2,-1,0.001828908920288086
4K3/8/2p1k3/4P3/3PQ3/8/8/8 w - - 0 1,e4f3->c6c5->f3f7,2,2,0,0.05131220817565918
8/kPP5/1Rn5/2K5/8/8/8/8 w - - 0 1,c5c6->None,2,2,0,0.015353918075561523
5Br1/6P1/5KBk/8/8/8/8/8 w - - 0 1,f6f5->g8h8->g7g8n,2,2,0,0.09201574325561523
k1KQ4/P7/8/1p6/1P6/8/8/8 w - - 0 1,d8e8->a8a7->e8c6->None,3,2,-1,0.006928920745849609
8/8/8/8/3p4/5K2/3kNN2/2R5 w - - 0 1,f2e4->d2d3->e2g3->None,3,2,-1,0.03251004219055176
8/8/4Q3/5p2/2R5/3kb3/8/3K4 w - - 0 1,d1e1->e3a7->e6e2,2,2,0,0.20853519439697266
6RR/6pp/7k/5K2/6P1/8/8/8 w - - 0 1,g4g5->h6h5->h8h7,2,2,0,0.013396024703979492
8/8/7k/5pR1/7K/7R/7P/8 w - - 0 1,h3g3->f5f4->g5h5,2,2,0,0.037306785583496094
8/3p4/3K1R2/5B2/5k2/7Q/8/8 w - - 0 1,f6f8->f4g5->f5h7->None,3,2,-1,0.001764059066772461
Rnk5/8/p2K4/N7/8/8/8/8 w - - 0 1,a5b3->c8d8->a8b8,2,2,0,0.02343297004699707
2R2K2/8/4k1p1/2P3Q1/8/8/8/8 w - - 0 1,f8e8->None,2,2,0,0.003256082534790039
8/k1K5/BN6/8/1N6/8/8/8 w - - 0 1,b6c8->a7a8->a6b5->None,3,2,-1,0.01636505126953125
8/8/8/7p/5K1P/7k/7p/7Q w - - 0 1,h1g1->h3h4->g1h2,2,2,0,0.04851508140563965
8/8/8/5p2/3K4/3N1k2/5N2/6Q1 w - - 0 1,d3f4->f3f4->g1g2->None,3,2,-1,0.031239986419677734
K7/2NPB3/1kB5/2R5/8/8/8/8 w - - 0 1,a8b8->None,2,2,0,9.298324584960938e-05
8/8/8/8/2p3R1/2K1p3/4k3/6Q1 w - - 0 1,g4f4->None,2,2,0,0.01723003387451172
8/8/8/2RN4/k1p5/8/KP6/8 w - - 0 1,d5c3->a4b4->c5h5->None,3,2,-1,0.0166928768157959
1R1N4/kp1N4/8/1K6/8/8/8/8 w - - 0 1,d8f7->b7b6->f7h8->None,3,2,-1,0.0010731220245361328
8/8/8/5p2/2Q5/5k1K/5P2/7N w - - 0 1,h3h2->f5f4->c4e6->None,3,2,-1,0.05967593193054199
8/8/8/4N3/1R6/2kN4/3r4/K3Q3 w - - 0 1,a1b1->None,2,2,0,0.1548762321472168
8/8/3N4/Q3p3/3kp3/8/4K2N/8 w - - 0 1,h2g4->e4e3->g4e5->None,3,2,-1,0.08338475227355957
8/8/8/8/N1K5/k1N5/p2p4/3R4 w - - 0 1,d1a1->d2d1n->a1a2,2,2,0,0.08931803703308105
8/6p1/6P1/6Q1/6p1/6k1/8/5KN1 w - - 0 1,g1e2->g3h2->g5h5,2,2,0,0.05699610710144043
8/1P1k2p1/5pN1/2Q2K2/8/8/8/8 w - - 0 1,c5b6->d7e8->b6c7->None,3,2,-1,0.08411431312561035
8/8/8/8/1n6/8/3QbkBK/4N3 w - - 0 1,e1c2->b4c6->d2e1,2,2,0,0.1378800868988037
3Q4/1p6/1r6/k7/1pP5/1K6/8/8 w - - 0 1,c4c5->a5b5->d8b6,2,2,0,0.10477709770202637
8/8/8/6p1/6Pp/7k/5K2/5bQ1 w - - 0 1,f2f1->None,2,2,0,0.011013269424438477
8/1p6/1B6/8/k1P5/p1K5/8/R7 w - - 0 1,a1a2->None,2,2,0,0.04697418212890625
8/8/8/n7/K7/N1p5/k1B5/1R6 w - - 0 1,c2d1->a5b7->d1b3,2,2,0,0.06034493446350098
8/5K2/5B2/4pk2/5p2/5B2/7N/8 w - - 0 1,h2g4->e5e4->g4h6,2,2,0,0.08709192276000977
8/8/8/p7/Q7/2Kp4/b2P4/k7 w - - 0 1,a4c2->a2g8->c2b2,2,2,0,0.07023310661315918
8/8/2p5/2K5/1PQ5/4N3/3k4/6N1 w - - 0 1,c4b3->d2c1->e3c4->None,3,2,-1,0.0745539665222168
8/7N/5Np1/2K1kPQ1/8/8/8/8 w - - 0 1,g5g2->e5f5->g2e4,2,2,0,0.07962393760681152
6r1/5Qnk/8/8/6N1/8/1B6/1K6 w - - 0 1,b1a1->g8h8->f7g7,2,2,0,0.19038820266723633
8/7N/8/8/5p1k/5Qp1/6p1/6K1 w - - 0 1,f3f4->h4h3->h7f8->None,3,2,-1,0.018296241760253906
k7/p1Bp4/K1n5/3Q4/8/8/8/8 w - - 0 1,c7d6->None,2,2,0,0.008240938186645508
8/8/8/5p2/5Q2/3p1P2/1N2k1K1/8 w - - 0 1,b2c4->d3d2->f4d2,2,2,0,0.09144401550292969
8/8/8/8/6NB/6NP/6k1/4K2R w - - 0 1,g4e5->None,2,2,0,0.012732982635498047
8/8/8/5N2/1R6/2p5/2k5/R3K1N1 w - - 0 1,e1e2->None,2,2,0,0.09075188636779785
8/8/8/8/8/2Q1p3/1Rp1K3/1qk5 w - - 0 1,b2a2->b1b8->c3e1,2,2,0,0.17057323455810547
8/5Q2/8/N3p3/4k1N1/2p5/2K5/8 w - - 0 1,a5c6->None,2,2,0,0.08383917808532715
8/4p3/4K3/8/8/2kP4/6N1/1Q1R4 w - - 0 1,e6e5->e7e6->g2h4->None,3,2,-1,0.015120983123779297
5N2/8/8/2p5/2Qpk1N1/6K1/8/8 w - - 0 1,c4c1->e4f5->c1f4,2,2,0,0.13028621673583984
8/7Q/3p4/3K2p1/6k1/8/5P2/5R2 w - - 0 1,f1a1->g4f4->h7e4,2,2,0,0.11828374862670898
2N4Q/5p2/5r2/4k3/4B3/4K3/8/8 w - - 0 1,e3d2->e5e6->h8e8,2,2,0,0.1294541358947754
8/8/K3p3/N1kbQ3/8/R7/8/8 w - - 0 1,a3a4->None,2,2,0,0.10540008544921875
2R5/p7/K1pk4/5P2/4Q3/8/8/8 w - - 0 1,f5f6->d6d7->e4c6,2,2,0,0.12651896476745605
8/8/8/8/7p/4pK1P/4p2k/4Q3 w - - 0 1,e1a1->h2h3->a1h1,2,2,0,0.043711185455322266
1K6/8/2Q5/kn6/8/P7/3N4/4B3 w - - 0 1,a3a4->b5c7->d2b1,2,2,0,0.12708187103271484
6QB/6P1/4p2k/4N3/5K2/8/8/8 w - - 0 1,g8f8->h6h5->f8f6->None,3,2,-1,0.0032050609588623047
k7/p1K3p1/8/8/8/5b2/8/5BQ1 w - - 0 1,f1g2->a7a5->g2f3,2,2,0,0.1325058937072754
2R5/kn1p4/3p4/1K1Q4/8/8/8/8 w - - 0 1,d5h1->b7d8->h1a8,2,2,0,0.12141895294189453
1B4N1/8/8/2K2k2/8/4p3/8/R5Q1 w - - 0 1,c5d5->e3e2->a1e1->None,3,2,-1,0.11379480361938477
8/8/5Q2/3k4/8/N1P1Kp2/5N2/8 w - - 0 1,f6g6->d5c5->g6e6->None,3,2,-1,0.0356898307800293
8/6N1/6pp/6k1/4P1N1/6K1/8/8 w - - 0 1,g7e6->g5h5->g4f6,2,2,0,0.02725386619567871
8/8/8/8/8/2p2K1N/2Q1p3/4rk2 w - - 0 1,c2a2->e1d1->a2e2,2,2,0,0.11417317390441895
3R3K/5k1B/3B4/4P3/4P3/8/8/8 w - - 0 1,d8g8->f7e6->g8g7->None,3,2,-1,0.000946044921875
5R2/5KB1/8/6k1/5R2/5B2/5P2/8 w - - 0 1,f7g8->g5g6->f8f5->None,3,2,-1,0.05955767631530762
k1n5/1RKn4/P7/1N6/8/8/8/8 w - - 0 1,c7d7->c8b6->b7b6->None,3,2,-1,0.02528214454650879
k3n3/P7/NPK5/1P6/8/8/8/8 w - - 0 1,a6c7->e8c7->c6c7->None,3,2,-1,0.007448673248291016
3N4/kpK5/PN6/1P6/8/8/8/8 w - - 0 1,d8b7->None,2,2,0,0.002218961715698242
qN6/kpQ5/3p4/3K4/8/8/8/8 w - - 0 1,d5c4->a8b8->c7a5,2,2,0,0.057032108306884766
8/8/8/8/1pp5/2p5/k1N5/1RK5 w - - 0 1,b1b4->None,2,2,0,0.010318756103515625
r1k1N3/pR1R4/K7/5n2/8/8/8/8 w - - 0 1,a6a5->a8b8->b7c7,2,2,0,0.12402200698852539
8/1N6/R1p5/1k6/1Np5/2K5/8/8 w - - 0 1,b7d6->b5c5->a6c6,2,2,0,0.04508209228515625
8/8/8/5N1B/8/4p1pk/4R3/6K1 w - - 0 1,h5f3->g3g2->f3h5->None,3,2,-1,0.011483192443847656
8/2p3R1/2R1N2k/8/7p/7K/8/8 w - - 0 1,c6c5->c7c6->h3h4->None,3,2,-1,0.07022881507873535
8/7p/7Q/8/4K1kp/8/6P1/5N2 w - - 0 1,g2g3->h4g3->f1e3,2,2,0,0.08705019950866699
8/3R4/1p6/1k1p4/3P4/2K5/Q7/8 w - - 0 1,d7c7->None,2,2,0,0.021065950393676758
k7/B1b5/K1Pp4/3Q4/8/8/8/8 w - - 0 1,d5b3->c7d8->b3b7,2,2,0,0.07941198348999023
6KR/4k2P/2Q2p2/5P2/8/8/8/8 w - - 0 1,g8g7->None,2,2,0,0.00010609626770019531
B7/1R3p2/2k2P2/1N6/1K6/8/8/8 w - - 0 1,b7b8->c6d7->a8d5->None,3,2,-1,0.0012562274932861328
6B1/5Q2/6qp/7k/5P2/7K/8/8 w - - 0 1,f7d5->g6f5->d5f5,2,2,0,0.11258196830749512
8/8/5N2/4pkPP/8/6K1/3Q4/8 w - - 0 1,d2d1->f5e6->d1d7,2,2,0,0.13958096504211426
8/8/4pQ2/1K1kPN2/8/6N1/8/8 w - - 0 1,f6h4->d5e5->h4d4,2,2,0,0.08347320556640625
8/6p1/4p1K1/4k3/4p3/2P5/3Q4/8 w - - 0 1,g6g5->e4e3->d2d4,2,2,0,0.06318283081054688
8/7B/6p1/8/1Q2p3/3k4/5P2/3K4 w - - 0 1,h7g6->None,2,2,0,0.005829334259033203
8/3p4/p2k1K2/8/2QN3n/8/8/8 w - - 0 1,d4b3->a6a5->c4c5,2,2,0,0.1238710880279541
8/5p1B/6p1/Q7/2k5/4P3/2K5/8 w - - 0 1,h7g8->g6g5->g8f7,2,2,0,0.07499098777770996
1k2K3/1P6/1R6/NN2n3/8/8/8/8 w - - 0 1,b5a3->b8c7->b7b8q,2,2,0,0.07326793670654297
8/8/7B/3KNkPR/8/8/7P/8 w - - 0 1,h5h4->None,2,2,0,0.005235195159912109
8/8/8/8/5p2/5P1Q/4K1Bb/6k1 w - - 0 1,h3h2->g1h2->e2f2->None,3,2,-1,0.07428312301635742
5B2/6R1/2bN1k2/2N5/5K2/8/8/8 w - - 0 1,d6e4->c6e4->f4e4->None,3,2,-1,0.09328079223632812
k1K5/q7/8/2p5/Q1R5/8/8/8 w - - 0 1,a4a1->a7a6->a1a6,2,2,0,0.06796002388000488
8/8/8/3p4/3K4/6Q1/6b1/5NkN w - - 0 1,f1e3->g1h1->g3g2,2,2,0,0.3190929889678955
8/8/8/4B3/8/5p2/1p3k2/1B1K3Q w - - 0 1,e5f4->None,2,2,0,0.01812887191772461
8/8/8/8/6K1/6B1/2p3k1/RnR5 w - - 0 1,c1b1->c2c1n->b1c1->None,3,2,-1,0.10059309005737305
k7/2pN4/K7/R1P5/P7/8/8/8 w - - 0 1,a5b5->c7c6->b5b7->None,3,2,-1,0.006062984466552734
8/8/8/8/8/1Q1pN3/8/k2K4 w - - 0 1,e3f5->d3d2->f5g7->None,3,2,-1,0.00015592575073242188
8/8/5p1Q/8/4P1kP/8/6K1/8 w - - 0 1,h6f6->g4h5->g2h3->None,3,2,-1,0.022320032119750977
8/8/8/8/5Q2/7K/6p1/6k1 w - - 0 1,f4d2->g1h1->d2g2,2,2,0,0.06804180145263672
