fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
1rb4r/pkPp3p/1b1P3n/1Q6/N3Pp2/8/P1P3PP/7K w - - 1 1,b5d5->b7a6->c7b8n,2,2,0,0.26587820053100586
4kb1r/p2n1ppp/4q3/4p1B1/4P3/1Q6/PPP2PPP/2KR4 w k - 1 1,d1d7->h8g8->d7d8,2,2,0,1.6086020469665527
r1b2k1r/ppp1bppp/8/1B1Q4/5q2/2P5/PPP2PPP/R3R1K1 w - - 1 1,e1e7->h8g8->d5d8,2,2,0,0.3080446720123291
5rkr/pp2Rp2/1b1p1Pb1/3P2Q1/2n3P1/2p5/P4P2/4R1K1 w - - 1 1,g5g6->f7g6->e7g7,2,2,0,0.905651330947876
1r1kr3/Nbppn1pp/1b6/8/6Q1/3B1P2/Pq3P1P/3RR1K1 w - - 1 1,e1e7->e8h8->g4d7,2,2,0,1.296623945236206
5rk1/1p1q2bp/p2pN1p1/2pP2Bn/2P3P1/1P6/P4QKP/5R2 w - - 1 1,f2b2->g8h8->f1f8,2,2,0,6.839235067367554
r1nk3r/2b2ppp/p3b3/3NN3/Q2P3q/B2B4/P4PPP/4R1K1 w - - 1 1,a3d6->h8g8->d6c7,2,2,0,1.37385892868042
r4br1/3b1kpp/1q1P4/1pp1RP1N/p7/6Q1/PPB3PP/2KR4 w - - 1 1,g3b3->d7e6->b3e6,2,2,0,1.6310298442840576
r1b2k1r/ppppq3/5N1p/4P2Q/4PP2/1B6/PP5P/n2K2R1 w - - 1 1,a2a4->h8g8->g1g8,2,2,0,0.5203020572662354
r2q1b1r/1pN1n1pp/p1n3k1/4Pb2/2BP4/8/PPP3PP/R1BQ1RK1 w - - 1 1,h2h4->h8g8->h4h5,2,2,0,0.8984720706939697
3q2r1/4n2k/p1p1rBpp/PpPpPp2/1P3P1Q/2P3R1/7P/1R5K w - - 1 1,g3g6->g8h8->h4h6,2,2,0,0.39943790435791016
r2qk2r/pb4pp/1n2Pb2/2B2Q2/p1p5/2P5/2B2PPP/RN2R1K1 w - - 1 1,f5f6->h8g8->f6f7,2,2,0,0.2885439395904541
6k1/pp4p1/2p5/2bp4/8/P5Pb/1P3rrP/2BRRN1K b - - 0 1,g2g1->h1g1->f2f1,2,2,0,0.487623929977417
rnbqkbn1/ppppp3/7r/6pp/3P1p2/3BP1B1/PPP2PPP/RN1QK1NR w - - 1 1,d1h5->h6h5->d3g6,2,2,0,1.6770141124725342
r2qrb2/p1pn1Qp1/1p4Nk/4PR2/3n4/7N/P5PP/R6K w - - 1 1,g2g4->f8e7->f5h5,2,2,0,2.2498178482055664
8/2r5/1k5p/1pp4P/8/K2P4/PR2QB2/2q5 b - - 0 1,c1c3->b2b3->c7a7,2,2,0,0.7174129486083984
r1b3nr/ppqk1Bbp/2pp4/4P1B1/3n4/3P4/PPP2QPP/R4RK1 w - - 1 1,f2f5->d4f5->e5e6,2,2,0,1.6578369140625
3k1r1r/pb3p2/1p4p1/1B2B3/3qn3/6QP/P4RP1/2R3K1 w - - 1 1,g3c3->h8g8->c3c7,2,2,0,0.6649787425994873
rn2kb1r/1pQbpppp/1p6/qp1N4/6n1/8/PPP3PP/2KR2NR w - - 1 1,c7c8->d7c8->d5c7,2,2,0,0.20662307739257812
r2k2nr/pp1b1Q1p/2n4b/3N4/3q4/3P4/PPP3PP/4RR1K w - - 1 1,e1e8->d7e8->f7c7,2,2,0,5.946131229400635
7k/1p4p1/p4b1p/3N3P/2p5/2rb4/PP2r3/K2R2R1 b - - 0 1,c3c1->d1c1->f6b2,2,2,0,0.8661150932312012
r2q2nr/5p1p/p1Bp3b/1p1NkP2/3pP1p1/2PP2P1/PP5P/R1Bb1RK1 w - - 1 1,c1e3->g8e7->c3d4,2,2,0,1.4057562351226807
r2q1k1r/ppp1bB1p/2np4/6N1/3PP1bP/8/PPP5/RNB2RK1 w - - 1 1,f1f5->h8g8->g5e6,2,2,0,0.31975507736206055
6k1/1p1r1pp1/p1r3b1/3pPqB1/2pP4/Q1P4R/P3P2K/6R1 w - - 1 1,a3c1->g8f8->h3h8,2,2,0,2.2072620391845703
r1b3k1/ppp3pp/8/3pB3/1P1P4/3K1P2/PP1n1q1P/R2Q3R b - - 0 1,d2b1->e5g7->c8f5,2,2,0,0.5917210578918457
2kr1b1r/pp3ppp/2p1b2q/4B3/4Q3/2PB2R1/PPP2PPP/3R2K1 w - - 1 1,d3a6->h8g8->e4c6,2,2,0,3.99507999420166
rn2kb1r/pp3ppp/4p1qn/1p4B1/2B5/3P2QP/PPP2PP1/R3K2R w - - 1 1,g3d6->h8g8->d6d8,2,2,0,1.0073599815368652
rnb2b1r/p3kBp1/3pNn1p/2pQN3/1p2PP2/4B3/Pq5P/4K3 w - - 1 1,e3c5->h8g8->c5d6,2,2,0,4.576359033584595
r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1 w - - 1 1,d1d8->e7d8->c7f7,2,2,0,0.354093074798584
